periode_data,periode_pemantauan,bulan_sampling,wilayah,kecamatan,jenis_lokasi,lokasi_sampling,latitude,longitude,kelompok_parameter,parameter,baku_mutu,hasil_pengukuran,kondisi
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Mangan (Mn) terlarut,0.1,0.7,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Salinitas,N/A,1.785,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Oksigen terlarut (DO),4,4.55,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Daya Hantar Listrik,N/A,31150,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,ORP*,N/A,61,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Deterjen,0.05,0.043,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Zat Organik (KMnO4),10,3.2,
,Periode 2 (Musim Kering),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Air Raksa,N/A,0.0001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Kadmium,N/A,0.0004,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Timbal,N/A,0.0015,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,IP,N/A,7.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Status,N/A,sedang,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Escherichia coli,0,0,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Total Coliform,0,1040,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Temperatur,N/A,29.45,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Total Dissolve Solid,300,1160,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Kekeruhan,3,17,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Warna,10,67.1,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,pH,N/A,8.2,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Nitrat (sebagai NO3) (terlarut),20,4.2,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Bidara Cina,-6.240085,106.867313,,Nitrit (sebagai NO2) (terlarut),3,0.0006,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Kromium valensi 6 (Cr6+) (terlarut),0.01,0.001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Besi (Fe) (terlarut),0.2,0.19,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Mangan (Mn) terlarut,0.1,0.016,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Salinitas,N/A,0.08,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Oksigen terlarut (DO),4,5.15,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Daya Hantar Listrik,N/A,1655,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,ORP*,N/A,-50,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Deterjen,0.05,0.0016,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Zat Organik (KMnO4),10,64.8,
,Periode 2 (Musim Kering),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Air Raksa,N/A,0.0001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Kadmium,N/A,0.0004,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Timbal,N/A,0.0015,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,IP,N/A,11.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Barat,Tambora,Sumur,Angke,-6.143691667,106.800125,,Status,N/A,berat,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Escherichia coli,0,0,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Total Coliform,0,180,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Temperatur,N/A,29.95,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Total Dissolve Solid,300,182,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Kekeruhan,3,2.015,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Warna,10,0.48,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,pH,N/A,5.7,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Nitrat (sebagai NO3) (terlarut),20,68.9,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cakung,Sumur,Cakung Barat,-6.173333333,106.9325,,Nitrit (sebagai NO2) (terlarut),3,0.0006,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Kromium valensi 6 (Cr6+) (terlarut),0.01,0.001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Besi (Fe) (terlarut),0.2,0.0057,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Mangan (Mn) terlarut,0.1,0.07,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Salinitas,N/A,0.015,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Oksigen terlarut (DO),4,5.75,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Daya Hantar Listrik,N/A,274,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,ORP*,N/A,88,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Deterjen,0.05,0.0016,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Zat Organik (KMnO4),10,2.23,
,Periode 2 (Musim Kering),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Air Raksa,N/A,0.0001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Kadmium,N/A,0.0004,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Timbal,N/A,0.0015,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,IP,N/A,8.8,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Status,N/A,sedang,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Escherichia coli,0,0,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Total Coliform,0,480,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Temperatur,N/A,29,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Total Dissolve Solid,300,205,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Kekeruhan,3,0,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Warna,10,1.21,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,pH,N/A,6.23,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Nitrat (sebagai NO3) (terlarut),20,42.8,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Cawang,-6.250276,106.868476,,Nitrit (sebagai NO2) (terlarut),3,0.0006,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Kromium valensi 6 (Cr6+) (terlarut),0.01,0.001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Besi (Fe) (terlarut),0.2,0.0057,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Mangan (Mn) terlarut,0.1,0.065,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Salinitas,N/A,0.02,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Oksigen terlarut (DO),4,2.65,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Daya Hantar Listrik,N/A,306.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,ORP*,N/A,26.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Deterjen,0.05,0.0016,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Zat Organik (KMnO4),10,1.56,
,Periode 2 (Musim Kering),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Air Raksa,N/A,0.0001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Kadmium,N/A,0.0004,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Timbal,N/A,0.0015,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,IP,N/A,10.3,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Jatinegara,Sumur,Balimester,-6.220187,106.866223,,Status,N/A,berat,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Escherichia coli,0,0,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Total Coliform,0,125,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Temperatur,N/A,26.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Total Dissolve Solid,300,203.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Kekeruhan,3,0.36,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Warna,10,0.48,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,pH,N/A,8.215,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Nitrat (sebagai NO3) (terlarut),20,14.3,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Ceger,-6.314444444,106.8891667,,Nitrit (sebagai NO2) (terlarut),3,0.0006,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Kromium valensi 6 (Cr6+) (terlarut),0.01,0.001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Besi (Fe) (terlarut),0.2,0.0057,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Mangan (Mn) terlarut,0.1,0.014,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Salinitas,N/A,0.02,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Oksigen terlarut (DO),4,5.3,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Daya Hantar Listrik,N/A,332.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,ORP*,N/A,-77.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Deterjen,0.05,0.0016,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Zat Organik (KMnO4),10,1.44,
,Periode 2 (Musim Kering),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Air Raksa,N/A,0.0001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Kadmium,N/A,0.0004,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Timbal,N/A,0.0015,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,IP,N/A,8.2,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Cipayung,Sumur,Bambu Apus,-6.305833333,106.9069444,,Status,N/A,sedang,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Escherichia coli,0,0,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Total Coliform,0,81,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Temperatur,N/A,29.15,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Total Dissolve Solid,300,365,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Kekeruhan,3,10.4,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Warna,10,2.71,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,pH,N/A,7.99,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Nitrat (sebagai NO3) (terlarut),20,1.76,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Pusat,Menteng,Sumur,Cikini,-6.191140267,106.8427243,,Nitrit (sebagai NO2) (terlarut),3,0.0006,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Kromium valensi 6 (Cr6+) (terlarut),0.01,0.001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Besi (Fe) (terlarut),0.2,0.15,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Mangan (Mn) terlarut,0.1,0.038,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Salinitas,N/A,0.02,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Oksigen terlarut (DO),4,6.56,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Daya Hantar Listrik,N/A,500,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,ORP*,N/A,-38.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Deterjen,0.05,0.0016,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Zat Organik (KMnO4),10,1.6,
,Periode 2 (Musim Kering),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Air Raksa,N/A,0.0001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,Kadmium,N/A,0.0004,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Timbal,N/A,0.0015,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,IP,N/A,7.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Status,N/A,sedang,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,Escherichia coli,0,0,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,Total Coliform,0,570,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,Temperatur,N/A,30.2,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,Total Dissolve Solid,300,222.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,Kekeruhan,3,0.035,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,Warna,10,2.16,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,pH,N/A,7.07,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,Nitrat (sebagai NO3) (terlarut),20,63.4,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Pasar Minggu,Sumur,Cilandak Timur,-6.30705,106.8104,,Nitrit (sebagai NO2) (terlarut),3,0.0006,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Baru,-6.323055556,106.8511111,,Kromium valensi 6 (Cr6+) (terlarut),0.01,0.001,
